2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Корсар Супер, ВРК|--
Корсар, ВРК|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Кортлис, ВРК|Альфа-Серф, ВК; Биотлин, ВРК; Варрант, ВРК; Заман, ВРК; Зенит, ВРК; Зубр, ВРК; Имидабел, ВРК; Имидашанс, ВРК; Имидж, ВРК; Имидор Про, КС; Имидор, ВРК; Имиприд, ВРК; Искра Золотая, ВРК; Калаш, ВРК; Командор, ВРК; Контадор, ВРК; Конфибой, ВРК; Конфиделин, ВРК; Корадо, ВРК; Корадо, ВРК (old); Муссон, ВРК; Ранголи-Имидоклоприд, ВРК; Танрек, ВРК; 
Корум, ВРК|--
Косайд 2000, ВДГ|--
Косайд Супер, ВДГ|--
Космик Турбо, ВРГ|--
Костандо, КЭ|Моддус, КЭ; Сапресс, КЭ; 
Кратерр, КС|Альфа-Прометрин, КС; Бриг, КС; Гезагард, КС; Гезадар, КС; Гонор, КС; Гордон, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Фортис, КС; Шансгард, КС; 
Крафт, ВЭ|--
Кредит Икстрим, ВРК|--
Кредо, СК|Аксиома, КС; Сарфун, СК; Доктор Кроп, КС; Зим 500, КС; Зимошанс, КС; Казим, КС; Казимир, КС; Карбезим, КС; Карбонар, КС; Кардинал 500, КС; Кардон, КС; Карзибел, КС; Комфорт, КС; Феразим, КС; Дерозал Евро, КС; 
Крез, КС|Коллис, КС;
Крезацин, КРП, ТАБ|--
Крезолан, ВР|--
Крейцер, ВДГ|--
Крепень, ВР|Атлет, ВР; Коренастый, ВК;
Крептон, КРП, ВРКАП|--
Кристалл, КС|--
Кротомет, Г|--
Круйзер Рапс, КС|Темифлю, КС; Круйзер Рапс, КС фунгицид; 
Круйзер Рапс, КС фунгицид|Темифлю, КС; Круйзер Рапс, КС;
Круйзер, КС|Кругозор, КС; Круйзер, КС (600 г/л); Панцирь, КС; 
Круйзер, КС (350 г/л)|Инстиво, КС; Кайзер, КС; Кайтокс, КС; Кипер, КС; Сабля, КС; Тиара, КС; Тиматерр, КС;
Круйзер, КС (600 г/л)|Круйзер, КС; Кругозор, КС; Панцирь, КС; 
Круцифер, ВР|Актеон, ВР; Дикамерон, ВР; Зенарил, ВР; Кирай, ВР; Лерашанс, ВР; Мегалит, ВР; Меридиан, ВР; Рапсан, ВР; Шкипер, ВР; 
Кумир, СК|--
Кумулус ДФ, ВДГ|Виташанс, ВДГ; Микротиол Специаль, ВДГ; Тиовит Джет, ВДГ; ФАС, серная шашка;
Кунгфу Супер, КС|Мелория, КС; Фактория, МКС; Эфробел, КС;
Кунгфу, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Купаж, ВДГ|Алсион, ВДГ; Аллерт, СТС; Альфа-Гард, ВДГ; Танит, МД; Тифенс, ВДГ; Тифи, ВДГ; ТифилАгро, ВДГ; Хармони Про, ВДГ; Хармони, СТС; Шансти, ВДГ; 
Купидон Голд, СП|--
Купидон, СП|Метеор, СП; 
Куприкол, КОЛР|--
Купроксат, КС|Индиго, КС;
Купролюкс, СП|Бусидо, ВДГ; Бронэкс, СП; Курзат Р, СП; Ордан, СП;
Курзат Р, СП|Бусидо, ВДГ; Бронэкс, СП; Купролюкс, СП; Ордан, СП;
Курсар, ВР|Зодиак, ВР; Зонатор, ВР; Глобал, ВР; Илот, ВР; Имазабел, ВР; Имазошанс, ВР; Имквант, ВР; Каспер, ВРК; Метас, ВР; Пропус, ВР; Пульсар, ВР; Родимич, ВР; Юзмар, ВР; Юнкер, ВР;
Кустодия, КС|--
Кэнсел, КС|Альфа Феникс, КС; Импакт, КС; Компакт, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Фитолекарь, КС; Флуафол, КС; Флуплант, КС; Флутривит, КС; Флутриобел, КС; Форис, КС;
Лабрадор, КЭ|Ацетал Про, КЭ; Вендор, КЭ; Ладон Про, КЭ; Питон, КЭ; Прокул, КЭ; Пронто, КЭ; Пропонит, КЭ;
Лазурит Супер, КНЭ|--
Лазурит Т, СП|Зино, СП; Контакт, ВДГ; Лазурит, СП; Метрифар 70, ВГ; Ранголи-Гильотина, ВДГ; Сойл, ВДГ; Тирон,ВДГ; Юнимарк, ВДГ; 
Лазурит Ультра, СК|Зенкор Ультра, КС; Зенкошанс, КС; Сойл Флюид, КС; Тореро, КС; 
Лазурит, СП|Зино, СП; Контакт, ВДГ; Лазурит Т, СП; Метрифар 70, ВГ; Ранголи-Гильотина, ВДГ; Сойл, ВДГ; Тирон,ВДГ; Юнимарк, ВДГ; 
Ламадор Про, КС|--
Ламадор, КС|--
Ламбада, СЭ|Астэрикс, СЭ; Пальмира, СЭ; Подмарин, КЭ; Прима, СЭ; Примавера, СЭ; Пришанс, СЭ; ЭтилФло, СЭ;
Ланкастер, КЭ|Злактерр, КЭ; Злакобой, КЭ; Капилео, КЭ; Клетодим Плюс Микс, КЭ; Клетодим Плюс Микс, КЭ 2249; Клетошанс, КЭ; Легат, КЭ; Легион Комби, КЭ; Легион, КЭ; Рондо, КЭ; Секач, КЭ; Селектор, КЭ; Центурион Нео, КЭ; Центурион, КЭ; Элефант, КЭ; Эфес, КЭ;
Ланнат, СП|--
Ланта, КС|Премис Двести, КС; Примэкс, КС; 
Ланцелот 450, ВДГ|--
Ларен Мет Про, ВДГ|Аккурат, ВДГ; Гренч, СП; Делегат, ВДГ; Зингер, СП; Ларен Про, ВДГ; Магнум, ВДГ; МетАлт, ВДГ; Метметил, ВДГ; Наномет, СП; Сарацин, ВДГ; Террамет, ВДГ; Хит, СП;
Ларен Про, ВДГ|Аккурат, ВДГ; Гренч, СП; Делегат, ВДГ; Зингер, СП; Ларен Мет Про, ВДГ; Магнум, ВДГ; МетАлт, ВДГ; Метметил, ВДГ; Наномет, СП; Сарацин, ВДГ; Террамет, ВДГ; Хит, СП;
Ларимар, ТКС |Виал ТрасТ, ВСК;
Ларт, ВР|Адвокат, ВР; Альфа-Дикамба, ВРК; Витара, ВР; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР;  Мономакс, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Лассо, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Ластик 100, ЭМВ|--
Ластик Топ, МКЭ|--
Ластик Экстра, КЭ|--
Лаудис, ВДГ|--
Левират, КЭ|Айкон, КЭ; Аминка ЭФ, КЭ; Левират, КЭ; Топтун, КЭ; Эфирам, КЭ; Эффект, КЭ; 
Легат, КЭ|Злактерр, КЭ; Злакобой, КЭ; Капилео, КЭ; Клетодим Плюс Микс, КЭ; Клетодим Плюс Микс, КЭ 2249; Клетошанс, КЭ; Ланкастер, КЭ; Легион Комби, КЭ; Легион, КЭ; Рондо, КЭ; Секач, КЭ; Селектор, КЭ; Центурион Нео, КЭ; Центурион, КЭ; Элефант, КЭ; Эфес, КЭ;
Легион Комби, КЭ|Злактерр, КЭ; Злакобой, КЭ; Капилео, КЭ; Клетодим Плюс Микс, КЭ; Клетодим Плюс Микс, КЭ 2249; Клетошанс, КЭ; Ланкастер, КЭ; Легат, КЭ; Легион, КЭ; Рондо, КЭ; Секач, КЭ; Селектор, КЭ; Центурион Нео, КЭ; Центурион, КЭ; Элефант, КЭ; Эфес, КЭ;
Легион, КЭ|Злактерр, КЭ; Злакобой, КЭ; Капилео, КЭ; Клетодим Плюс Микс, КЭ; Клетодим Плюс Микс, КЭ 2249; Клетошанс, КЭ; Ланкастер, КЭ; Легат, КЭ; Легион Комби, КЭ; Рондо, КЭ; Секач, КЭ; Селектор, КЭ; Центурион Нео, КЭ; Центурион, КЭ; Элефант, КЭ; Эфес, КЭ;
Легионер, КЭ|Фюзилад Форте, КЭ;
Лемур, КЭ|Багира, КЭ; Пантера, КЭ; Хилер, МКЭ;
Лентагран 600, КЭ|--
Леопард, КЭ|Альфа Тигр, КЭ; Норвел, КЭ; Ранголи-Таргон-С, КЭ; 
Лепидобактоцид, Ж|--
Лепидоцид, П|Лепидоцид, СК-М;
Лепидоцид, СК-М|Лепидоцид, П;
Лептоцид, Ж|--
Лерашанс, ВР|Актеон, ВР; Дикамерон, ВР; Зенарил, ВР; Кирай, ВР; Круцифер, ВР; Мегалит, ВР; Меридиан, ВР; Рапсан, ВР; Шкипер, ВР; 
Лигат, КЭ|--
Лидер, КЭ|АЛЬФА БРИГАДИР, КЭ; Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК; Вымпел 3, КЭ; Горизонт, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; Эксперт Трио ОФ, КЭ;
Линтаплант, ВК|Агрошанс, ВК; Агритокс, ВК; Аметил, ВРК; Гербитокс, ВРК; 
Линтур, ВДГ|--
Лирум, СК|--
Листего Про, ВР|--
Логран, ВДГ|Дукат, ВДГ; Триас, ВДГ; 
Локустин, КС|--
Лонган, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Лонтерр, ВДГ|Агрон Гранд, ВДГ; Клео, ВДГ; Клопер 750, ВДГ; Клопирид, ВДГ; Лонтрел гранд, ВДГ; Монолит, ВДГ; Приклад, ВДГ; Силард, ВДГ; Сонхус, ВДГ; Чермен, ВДГ; Хакер, ВРГ;
Лонтрел гранд, ВДГ|Агрон Гранд, ВДГ; Клео, ВДГ; Клопер 750, ВДГ; Клопирид, ВДГ; Лонтерр, ВДГ; Монолит, ВДГ; Приклад, ВДГ; Силард, ВДГ; Сонхус, ВДГ; Чермен, ВДГ; Хакер, ВРГ;
Лонтрел-300, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Лорнет, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Лост, ВР|Абидос, ВР; Адекват, ВР; Альфа-Дикват, ВР; Волат, ВР; Голден Ринг, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикватерр Супер, ВР; Дикошанс, ВР; Донат, ВР; Молоток, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР; Эквит, ВР;
Луна Транквилити, КС|--
Луна Экспириенс, КС|--
Люгер, СЭ|Арбалет, СЭ; Дисулам, СЭ; Опричник, СЭ; Премьера, СЭ; Флорастар, СЭ; Камаро, СЭ; 
Люмакс, СЭ|Люмакс, СЭ 2360;
Люмипоса, ТС|--
Люмисена, ТС|--
Люфокс, КЭ|--
Лямбда-С, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Лямдекс, КЭ|Молния, КЭ; Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Маврик, ВЭ|--
Магна, ТАБ|--
Магнат Тотал, КС|--
Магнелло, КЭ|--
Магнифос, ТАБ|Магтоксин, ТАБ;
Магнум Супер, ВДГ|--
Магнум, ВДГ|Аккурат, ВДГ; Гренч, СП; Делегат, ВДГ; Зингер, СП; Ларен Мет Про, ВДГ; Ларен Про, ВДГ; МетАлт, ВДГ; Метметил, ВДГ; Наномет, СП; Сарацин, ВДГ; Террамет, ВДГ; Хит, СП;
Магтоксин, Пластины и Ленты Дегеша|--
Магтоксин, ТАБ|Магнифос, ТАБ;
Мадекс Твин, СК|--
Маис, СТС|Алтис, ВДГ; Арпад, ВДГ; Гримс, ВДГ; Денди, СТС; Кассиус, ВРП; Ранголи-Тиран, ВДГ; Риманол, ВДГ; Римлин, ВДГ; Римус, ВДГ; Римэкс, ВДГ; Ромул, ВДГ; Титус, СТС; Тример, ВДГ; Цицерон, ВДГ; Шантус, ВДГ; 
МайсТер Пауэр, МД|--
МайсТер, ВДГ|--
Макси Злак, КЭ|Берилл, КЭ; Селект, КЭ; Цензор Макс, МКЭ;
Максим 480, КС|--
Максим Адванс, КС|--
Максим Голд, КС|--
Максим Дачник, КС|Максим, КС; Протект, КС; Флудимакс, КС;
Максим Кватро, КС|--
Максим Плюс, КС|--
Максим Форте, КС|Проксима, КС;
Максим Экстрим, КС|--
Максим, КС|Максим Дачник, КС; Протект, КС; Флудимакс, КС;
Малахит, ВДГ|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Малвин, ВДГ|--
Малибу, ВДГ|Арбитр, СП; Арбитр АГ, СП; БитЛайт, КС; Караван, СП; Карамболь, СП; Кари-Макс, СП; Карибу С, ВДГ; Карибу, ВДГ; КариПро, ВДГ; Каришанс, ВДГ; Карнаби, ВДГ; Карриджу, ВДГ; Кондор, ВДГ; Олимп, ВДГ; Рандеву, ВДГ; Флуорон, ВДГ; Форинт, ВДГ; Фурон, ВДГ;
Мамба, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Манзат, ВДГ|Фортуна Глобал, ВДГ;
Манкодим, СП|Акробат МЦ, ВДГ; Гимнаст, СП; Рапид Дуэт, СП; Соланум, СП; Филдер 69, ВГ; 
Манкоцеб, СП|Дитан М-45, СП; Индофил М-45, СП; Манфил, СП; Пеннкоцеб, СП; 
Мантра, ВРК|Агро-Лайт, ВРК ; Девайс Ультра, ВРК; Диома, ВРК; Евро-Лайтнинг, ВРК; Евро-Ленд, ВРК; Еврошанс, ВРК; Имквант Супер, ВРК; Импекс Дуо, ВРК; Каптора, ВРК; Сотейра, ВРК;
Манфил, СП|Дитан М-45, СП; Индофил М-45, СП; Манкоцеб, СП; Пеннкоцеб, СП; 
Мариус, КС|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Масай, СП|--
МатринБио, ВР|--
Матрица Роста, ВРК|--
Матч, КЭ|--
Маэстро, КЭ|Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Мегалит, ВР |Актеон, ВР; Дикамерон, ВР; Зенарил, ВР; Кирай, ВР; Круцифер, ВР; Лерашанс, ВР; Меридиан, ВР; Рапсан, ВР; Шкипер, ВР; 
Медвегон, Г|Валлар, Г; Гризли, Г; Мухоед, Г; Террадокс, Г; 
Медветокс, Г|Землин, Г; Муравьин, Г; Почин, Г; 
Медея, МЭ|--
Мезокорн, КС|Десперадо, КС; Интермеццо, КС; Каллисто, СК; Меис, КС; Франкорн, КС; Шанс Голд, КС; Эгида, СК;
Меис, КС|Десперадо, КС; Интермеццо, КС; Каллисто, СК; Мезокорн, КС; Франкорн, КС; Шанс Голд, КС; Эгида, СК;
Мекар, МЭ|Шанситек, КЭ; Вертимек, КЭ; Клеопатра, КЭ; Сарейп, КЭ;
Мелафен, ВР|--
Мелион, КС|Агроника, КС; Иканос, МД; Корникос, КС; Милафорт, КС; Миледи, КС; Милена, КС; Нарвал, КС; Никобел, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Мелория, КС |Кунгфу Супер, КС; Мелория, КС; Фактория, МКС;
Меридиан, ВР |Актеон, ВР; Дикамерон, ВР; Зенарил, ВР; Кирай, ВР; Круцифер, ВР; Лерашанс, ВР; Мегалит, ВР; Рапсан, ВР; Шкипер, ВР; 
Меркурий, СП|--
Мерлин Флекс, КС |--
Мерлин, ВДГ|--
Мерпан, СП|Камертон Ультра, СП; Камертон, СП;
Мессидор, КС|--
Метабактерин, СП|--
Метабром-РФО, Газ|--
Метаксил, СП|Ацидан, СП; Виконт, СП; Метамил МЦ, ВДГ; Меташанс, СП; Рапид Микс, СП;
Метамил МЦ, ВДГ|Ацидан, СП; Виконт, СП; Метаксил, СП; Метамил МЦ, ВДГ; Меташанс, СП; Рапид Микс, СП;
Метамир, ВДГ|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Метаризин, Ж|--
Метарон, ВДГ|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Метас, ВР|Зодиак, ВР; Зонатор, ВР; Глобал, ВР; Илот, ВР; Имазабел, ВР; Имазошанс, ВР; Имквант, ВР; Каспер, ВРК; Курсар, ВР; Пропус, ВР; Пульсар, ВР; Родимич, ВР; Юзмар, ВР; Юнкер, ВР;
Метафол, СК|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Меташанс, СП |Ацидан, СП; Виконт, СП; Метаксил, СП; Метамил МЦ, ВДГ; Рапид Микс, СП;
Метеор, СП|Купидон, СП;
Меткий,  МД|Гавань Плюс, МД; Легенда, МД; Элюмис, МД; Элюмис, МД 3358;
Метметил, ВДГ|Аккурат, ВДГ; Гренч, СП; Делегат, ВДГ; Зингер, СП; Ларен Мет Про, ВДГ; Ларен Про, ВДГ; Магнум, ВДГ; МетАлт, ВДГ; Наномет, СП; Сарацин, ВДГ; Террамет, ВДГ; Хит, СП;
Метолс, КЭ|Авангард, КЭ; Анаконда, КЭ; Бегин, КЭ; Гуд-Харвест С-Метолахлор, КЭ; Джиндур, КЭ; Дифилайн, КЭ; Дуал Голд, КЭ; Душанс, КЭ; Ранголи-Дон, КЭ; Селена, КЭ; Симба, КЭ; Стрим, КЭ; Телус, КЭ; Хевимет, КЭ;
Метомакс, КС|--
Метрифар 70, ВГ|Зино, СП; Контакт, ВДГ; Лазурит Т, СП; Лазурит, СП; Ранголи-Гильотина, ВДГ; Сойл, ВДГ; Тирон,ВДГ; Юнимарк, ВДГ; 
Метроном, КС|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Мивал-Агро, КРП|--
Микротиол Специаль, ВДГ|Виташанс, ВДГ; Кумулус ДФ, ВДГ; Тиовит Джет, ВДГ; ФАС, серная шашка;
Миксанил, КС|--
МиксФил, КС|--
Милагро Плюс, МД|--
Милафорт, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Миледи, КС; Милена, КС; Нарвал, КС; Никобел, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Миледи, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Милена, КС; Нарвал, КС; Никобел, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Милена, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Миледи, КС; Нарвал, КС; Никобел, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Фаэтон, КС; Янтарь, КС;
Минотавр, ВДГ|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Мистерия, МЭ|--
Митрон, КС|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Гуд-Харвест Метамитрон, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Миура, КЭ|Химера, КЭ;
Мицефит, ВРП|--
Мовенто Энерджи, КС|--
Моддус, КЭ|Костандо, КЭ; Сапресс, КЭ; 
Модерн, КЭ|--
Модесто Плюс, КС|--
Модесто, КС|--
Моксимэйт, СП|Ордан МЦ, СП; Рапид Голд, СП; 
Молетокс, КЭ|Суми-альфа, КЭ; Сэмпай, КЭ;
Молния Дуо, КЭ|Готика, КС; Куррито, КС; Солам, КС; Эфория, КС;
Молния Экстра, КЭ|Арриво, КЭ; Патрий, КЭ; Циперус, КЭ; Ципи, КЭ; Циракс, КЭ; Цитокс, КЭ; Шарпей, МЭ; 
Молния, КЭ|Оперкот, КЭ; Сенсей, КЭ; Торег, КЭ; Каратэ Зеон, МКС; Бретер, КЭ; Гедеон, КЭ; Гладиатор, КЭ; Дипломат, КЭ; Кайзо, ВГ; Каратошанс, КЭ; Карачар, КЭ; Кунгфу, КЭ; Лассо, КЭ; Лямбда-С, КЭ; Лямдекс, КЭ; Самум, КЭ; Цепеллин Эдванс, КЭ;
Молоток, ВР|Абидос, ВР; Адекват, ВР; Альфа-Дикват, ВР; Волат, ВР; Голден Ринг, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикватерр Супер, ВР; Дикошанс, ВР; Донат, ВР; Лост, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР; Эквит, ВР;
Монарх, ВДГ|Регент, ВДГ; Шанс Профи, ВДГ;
Монолит, ВДГ|Агрон Гранд, ВДГ; Клео, ВДГ; Клопер 750, ВДГ; Клопирид, ВДГ; Лонтерр, ВДГ; Лонтрел гранд, ВДГ; Приклад, ВДГ; Силард, ВДГ; Сонхус, ВДГ; Чермен, ВДГ; Хакер, ВРГ;
Мономакс, ВР|Адвокат, ВР; Альфа-Дикамба, ВРК; Витара, ВР; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Морион, СК|Нерта, КС;
